Question,Answer,Name
Come funziona il controllo a cancello della nocicezione?,"Nel corno posteriore ci sono gl'interneuroni, agenti sul neurone di proiezione dell'impulso dolorifico (II neurone della via del dolore). Essi vengono inibiti dalle fibre nocicettive e attivati dalle fibre A beta; di conseguenza lo stimolo tattile inibisce lo stimolo nocicettivo.",Come funziona il controllo a cancello della nocicezione?
Come avviene la modulazione periferica del dolore?,"Conseguentemente al danno, mediante la stimolazione delle fibre non nocicettive.",Come avviene la modulazione periferica del dolore?
Come avviene la modulazione centrale?,"La modulazione avviene tramite fattori provenienti dal SNC. Le strutture che la controllano sono tre nuclei che proiettano al midollo spinale e modulano i neuroni che producono oppioidi endogeni:1) Grigio periacqueduttale, modulante sulle vie che si dipartono dai successivi due nuclei;2) Nucleo magno del Rafe, serotoninergico;3) Locus coeruleus, noradrenergico.",Come avviene la modulazione centrale?
Cosa permette di sopportare il dolore?,L'azione combinata della modulazione di base istintiva di natura troncale e della volontà di sopportazione dolorifica di tipo encefalico (corticale).,Cosa permette di sopportare il dolore?
Con chi interagisce l'interneurone inibitorio del dolore?,"Interagisce sul nocicettore C (1° neurone della via del dolore), inibendo la secrezione di sostanza P nella sinapsi col neurone di proiezione (2° neurone della via del dolore).",Descrivi
Quale tipo di fibra ha il maggiore quantitativo di recettori mu (recettori degli oppioidi)? Cosa comporta ciò?,Le fibre C (del dolore cronico). Ciò comporta che gli oppioidi agiscano principalmente su di esse contro il dolore cronico.,Quale tipo di fibra ha il maggiore quantitativo di recettori
Che cosa s'intende per dolore riferito?,Il dolore viscerale proiettato su una zona somatica. Si tratta di associazione tra dolore enterocettivo ed esterocettivo.,Che cosa s'intende per dolore riferito?
"Cosa s'intende per ""dolore irradiato""?",Un dolore che si prolunga dal punto in cui origina fino alla fine del decorso del nervo interessato (es. colpo della strega).,Cosa s'intende per dolore irradiato?
Cosa sono i recettori TRP (Transient Receptor Potential)?,"Sono recettori posti sui nocicettori e rispondono agli stimoli dolorifici. Sono bimodali, perché non rispondono soltanto al dolore, ma anche a caldo/freddo. (Es. Il peperoncino, contenente capseicina, interagisce coi recettori sensibili al calcio).",Cosa sono i recettori TRP (Transient Receptor Potential)?
Qual è il ruolo dei leucociti nella modulazione del dolore?,"Secernono, nel contesto dell'infiammazione, sotto lo stimolo di noradrenalina, interleuchine e citochine, secernono gli oppioidi, inibendo i nocicettori (ruolo identico agl'interneuroni nella modulazione periferica).",Qual è il ruolo dei leucociti nella modulazione del dolore?
